link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/jessicamisener,https://www.buzzfeed.com/amphtml/jessicamisener,2932,145,3807,1606,0
https://www.buzzfeed.com/jessicamisener,https://www.buzzfeed.com/amphtml/jessicamisener,1325,77,3420,452,1
https://www.buzzfeed.com/jessicamisener,https://www.buzzfeed.com/amphtml/jessicamisener,1652,71,2572,136,2
https://www.buzzfeed.com/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,https://www.buzzfeed.com/amphtml/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,2577,79,1487,422,0
https://www.buzzfeed.com/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,https://www.buzzfeed.com/amphtml/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,2220,72,897,45,1
https://www.buzzfeed.com/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,https://www.buzzfeed.com/amphtml/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,3213,67,938,47,2
https://www.buzzfeed.com/pablovaldivia,https://www.buzzfeed.com/amphtml/pablovaldivia,3349,2155,3531,1359,0
https://www.buzzfeed.com/pablovaldivia,https://www.buzzfeed.com/amphtml/pablovaldivia,1944,71,2452,108,1
https://www.buzzfeed.com/pablovaldivia,https://www.buzzfeed.com/amphtml/pablovaldivia,2642,74,2340,75,2
https://www.buzzfeed.com/claudiakoerner/amal-and-george-clooney-are-expecting-twins,https://www.buzzfeed.com/amphtml/claudiakoerner/amal-and-george-clooney-are-expecting-twins,2462,88,1986,457,0
https://www.buzzfeed.com/claudiakoerner/amal-and-george-clooney-are-expecting-twins,https://www.buzzfeed.com/amphtml/claudiakoerner/amal-and-george-clooney-are-expecting-twins,2583,70,1250,52,1
https://www.buzzfeed.com/claudiakoerner/amal-and-george-clooney-are-expecting-twins,https://www.buzzfeed.com/amphtml/claudiakoerner/amal-and-george-clooney-are-expecting-twins,2542,67,1137,56,2
https://www.buzzfeed.com/dylanrkeith/cheesy-cornbread-topped-chili,https://www.buzzfeed.com/amphtml/dylanrkeith/cheesy-cornbread-topped-chili,2118,75,1697,344,0
https://www.buzzfeed.com/dylanrkeith/cheesy-cornbread-topped-chili,https://www.buzzfeed.com/amphtml/dylanrkeith/cheesy-cornbread-topped-chili,2475,63,1086,77,1
https://www.buzzfeed.com/dylanrkeith/cheesy-cornbread-topped-chili,https://www.buzzfeed.com/amphtml/dylanrkeith/cheesy-cornbread-topped-chili,1923,74,1175,40,2
https://www.buzzfeed.com/tahliapritchard/dj-ralphie,https://www.buzzfeed.com/amphtml/tahliapritchard/dj-ralphie,4043,506,1765,569,0
https://www.buzzfeed.com/tahliapritchard/dj-ralphie,https://www.buzzfeed.com/amphtml/tahliapritchard/dj-ralphie,2297,106,1358,38,1
https://www.buzzfeed.com/tahliapritchard/dj-ralphie,https://www.buzzfeed.com/amphtml/tahliapritchard/dj-ralphie,2383,54,1219,159,2
https://www.buzzfeed.com/tahliapritchard,https://www.buzzfeed.com/amphtml/tahliapritchard,3909,1445,3492,1356,0
https://www.buzzfeed.com/tahliapritchard,https://www.buzzfeed.com/amphtml/tahliapritchard,1249,58,2525,86,1
https://www.buzzfeed.com/tahliapritchard,https://www.buzzfeed.com/amphtml/tahliapritchard,1627,63,2247,84,2
